1645552055424,2287740
1645552055428,3883908
1645552055430,2094703
1645552055436,5679370
1645552055438,1393389
1645552055439,1634407
1645552055441,1481871
1645552055443,2606982
1645552055447,3400519
1645552055451,4052741
1645552055453,2135297
1645552055456,2479852
1645552055458,1664148
1645552055461,3082574
1645552055463,2001148
1645552055466,3443537
1645552055469,2263908
1645552055472,3216056
1645552055474,1883703
1645552055482,7816352
1645552055483,1375889
1645552055486,2602926
1645552055487,1186037
1645552055490,3118037
1645552055492,1501297
1645552055496,4361240
1645552055499,2393352
1645552055502,2865444
1645552055504,1495075
1645552055506,2608703
1645552055508,1778519
1645552055512,3289685
1645552055514,2597722
1645552055518,3355630
1645552055520,1928037
1645552055525,5507519
1645552055527,1715555
1645552055529,1567704
1645552055531,1756203
1645552055534,3201259
1645552055537,3644760
1645552055541,3462556
1645552055543,1806852
1645552055546,2553278
1645552055548,2081834
1645552055551,3088370
1645552055553,1937852
1645552055557,3529518
1645552055559,2509963
1645552055562,3181445
1645552055564,1706111
1645552055573,8321371
1645552055574,1285222
1645552055576,2315926
1645552055577,1117167
1645552055580,2607870
1645552055582,1809629
1645552055586,4454500
1645552055589,2726630
1645552055592,3014611
1645552055594,1898333
1645552055597,2617667
1645552055599,1855889
1645552055602,3138333
1645552055605,2427944
1645552055609,4031222
1645552055611,1979704
1645552055616,5376278
1645552055618,1594445
1645552055620,1761833
1645552055621,1576222
1645552055624,2391666
1645552055627,3114056
1645552055631,4255092
1645552055634,2084667
1645552055636,2915056
1645552055639,1970297
1645552055641,2403500
1645552055643,1976778
1645552055646,2911870
1645552055648,2291963
1645552055653,4342833
1645552055655,2242000
1645552055662,7218833
1645552055664,1378074
1645552055667,2628112
1645552055668,1170259
1645552055671,2727574
1645552055672,1842611
1645552055677,4390055
1645552055679,2272685
1645552055682,2949186
1645552055684,1699222
1645552055687,2700518
1645552055689,1963055
1645552055692,2941241
1645552055695,2377574
1645552055698,3257796
1645552055700,1779111
1645552055706,6346981
1645552055708,1394500
1645552055709,1644204
1645552055711,1530203
1645552055714,3128370
1645552055719,4550519
1645552055722,3151593
1645552055724,1738130
1645552055726,2312260
1645552055728,1716315
1645552055731,3015889
1645552055734,2220908
1645552055737,3669463
1645552055740,2056648
1645552055743,3278759
1645552055745,2152388
1645552055753,7523278
1645552055754,1400907
1645552055757,2308833
1645552055758,1355666
1645552055761,3237982
1645552055763,1520907
1645552055767,4197667
1645552055770,2681055
1645552055773,2745167
1645552055774,1439741
1645552055777,2836240
1645552055779,1789926
1645552055783,3370852
1645552055785,2508574
1645552055789,3455574
1645552055791,1904223
1645552055796,5452593
1645552055798,1719463
1645552055799,1510315
1645552055801,1855240
1645552055805,3199871
1645552055808,3367092
1645552055812,3616037
1645552055813,1638333
1645552055816,2934204
1645552055818,1906092
1645552055821,2955722
1645552055824,1957796
1645552055827,3381222
1645552055829,2124815
1645552055833,3234185
1645552055835,2299870
1645552055843,7577371
1645552055844,1609814
1645552055846,2121481
1645552055848,1408408
1645552055850,2248019
1645552055852,2187686
1645552055856,3986333
1645552055859,2937444
1645552055863,3345296
1645552055865,1732778
1645552055868,2785463
1645552055869,1839129
1645552055872,2594278
1645552055874,2213482
1645552055878,3772445
1645552055881,2406555
1645552055886,5522667
1645552055888,1683259
1645552055890,1768259
1645552055891,1675833
1645552055894,2465445
1645552055898,3919167
1645552055902,3890129
1645552055904,1765407
1645552055907,2778148
1645552055909,2025204
1645552055911,2427574
1645552055913,1861741
1645552055916,3129148
1645552055919,2324259
1645552055923,4019278
1645552055925,2153962
1645552055933,7449944
1645552055934,1557222
1645552055937,2523408
1645552055938,1181426
1645552055941,2811278
1645552055943,2772500
1645552055947,3997370
1645552055950,2169278
1645552055953,2901482
1645552055955,1969963
1645552055957,2655259
1645552055960,1940537
1645552055963,3031000
